point_id,timestamp,time_from_start,x_pixel,y_pixel,x_normalized,y_normalized,velocity_px_per_sec,movement_direction_x,movement_direction_y,acceleration,movement_type,is_fixation,fixation_duration,fixation_center_x,fixation_center_y,estimated_line,estimated_word_position,session_duration,total_fixations,average_velocity,reading_speed_wpm,fixation_rate
0,1755870073.4436572,26.664024353027344,504,377,0.4666666666666667,0.5236111111111111,1523.459186936221,0,0,0,saccade,False,0,0,0,10.472222222222221,5.6,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
1,1755870073.4691675,26.689534664154053,513,355,0.475,0.4930555555555556,931.7694531417459,9,-22,0,saccade,False,0,0,0,9.86111111111111,5.7,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
2,1755870073.4991667,26.719533920288086,519,409,0.48055555555555557,0.5680555555555555,1811.1219353597976,6,54,879.3524822180517,saccade,False,0,0,0,11.36111111111111,5.766666666666667,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
3,1755870073.5317087,26.752075910568237,523,454,0.4842592592592593,0.6305555555555555,1388.2810363895153,4,45,-422.8408989702823,saccade,False,0,0,0,12.61111111111111,5.811111111111111,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
4,1755870073.5632257,26.78359293937683,526,421,0.48703703703703705,0.5847222222222223,1051.3707765031,3,-33,-336.91025988641536,saccade,False,0,0,0,11.694444444444445,5.844444444444444,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
5,1755870073.5962257,26.816592931747437,528,464,0.4888888888888889,0.6444444444444445,1304.4392864285978,2,43,253.0685099254979,saccade,False,0,0,0,12.88888888888889,5.866666666666666,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
6,1755870073.6282265,26.848593711853027,530,500,0.49074074074074076,0.6944444444444444,1126.707306374093,2,36,-177.7319800545049,saccade,False,0,0,0,13.88888888888889,5.888888888888889,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
7,1755870073.662041,26.882408142089844,566,529,0.524074074074074,0.7347222222222223,1367.099696832188,36,29,240.39239045809518,saccade,False,0,0,0,14.694444444444445,6.288888888888889,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
8,1755870073.6921167,26.91248393058777,598,555,0.5537037037037037,0.7708333333333334,1370.9052468905845,32,26,3.8055500583964204,saccade,False,0,0,0,15.416666666666666,6.644444444444445,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
9,1755870073.739286,26.95965313911438,667,577,0.6175925925925926,0.8013888888888889,1535.3739122661193,69,22,164.46866537553478,saccade,False,0,0,0,16.02777777777778,7.411111111111111,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
10,1755870073.772807,26.993174076080322,721,595,0.6675925925925926,0.8263888888888888,1698.0729966129272,54,18,162.69908434680792,saccade,False,0,0,0,16.52777777777778,8.011111111111111,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
11,1755870073.8036087,27.02397584915161,762,554,0.7055555555555556,0.7694444444444445,1882.4486474560701,41,-41,184.37565084314292,saccade,False,0,0,0,15.38888888888889,8.466666666666667,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
12,1755870073.8366172,27.056984424591064,793,507,0.7342592592592593,0.7041666666666667,1705.7007850675604,31,-47,-176.7478623885097,saccade,False,0,0,0,14.083333333333334,8.811111111111112,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
13,1755870073.8682265,27.08859372138977,815,468,0.7546296296296297,0.65,1416.5840714403112,22,-39,-289.1167136272493,saccade,False,0,0,0,13.0,9.055555555555555,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
14,1755870073.8992264,27.119593620300293,832,436,0.7703703703703704,0.6055555555555555,1168.8858072916914,17,-32,-247.69826414861973,saccade,False,0,0,0,12.11111111111111,9.244444444444444,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
15,1755870073.9322271,27.152594327926636,843,408,0.7805555555555556,0.5666666666666667,911.5931165357423,11,-28,-257.29269075594914,saccade,False,0,0,0,11.333333333333334,9.366666666666667,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
16,1755870073.963743,27.184110164642334,852,456,0.7888888888888889,0.6333333333333333,1549.5848080712183,9,48,637.991691535476,saccade,False,0,0,0,12.666666666666666,9.466666666666667,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
17,1755870073.9961276,27.21649479866028,858,422,0.7944444444444444,0.5861111111111111,1066.102923507909,6,-34,-483.4818845633092,saccade,True,0.17463302612304688,857.0625,405.0625,11.722222222222221,9.533333333333333,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
18,1755870074.0275645,27.247931718826294,863,407,0.799074074074074,0.5652777777777778,502.9560216886176,5,-15,-563.1469018192914,saccade,True,0.17463302612304688,857.0625,405.0625,11.305555555555555,9.588888888888889,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
19,1755870074.0590878,27.279454946517944,866,402,0.8018518518518518,0.5583333333333333,184.97318713304713,3,-5,-317.9828345555705,smooth_pursuit,True,0.17463302612304688,857.0625,405.0625,11.166666666666666,9.622222222222222,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
20,1755870074.0922441,27.31261134147644,851,398,0.787962962962963,0.5527777777777778,468.2105734261096,-15,-4,283.23738629306246,saccade,True,0.17463302612304688,857.0625,405.0625,11.055555555555555,9.455555555555556,36.964529275894165,63,474.2333668450631,369.1376643310422,1.7043365960319277
