point_id,timestamp,time_from_start,x_pixel,y_pixel,x_normalized,y_normalized,velocity_px_per_sec,movement_direction_x,movement_direction_y,acceleration,movement_type,is_fixation,fixation_duration,fixation_center_x,fixation_center_y,estimated_line,estimated_word_position,session_duration,total_fixations,average_velocity,reading_speed_wpm,fixation_rate
0,1756106392.7203336,106.95721244812012,717,111,0.6638888888888889,0.15416666666666667,221.39371865927686,0,0,0,smooth_pursuit,True,0,0,0,3.0833333333333335,7.966666666666667,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
1,1756106392.7490222,106.98590111732483,716,106,0.662962962962963,0.14722222222222223,177.7363556743617,-1,-5,0,smooth_pursuit,True,0,0,0,2.9444444444444446,7.955555555555556,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
2,1756106392.7843668,107.02124571800232,716,103,0.662962962962963,0.14305555555555555,84.8785936888685,0,-3,-92.8577619854932,smooth_pursuit,True,0,0,0,2.861111111111111,7.955555555555556,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
3,1756106392.8182359,107.05511474609375,715,100,0.6620370370370371,0.1388888888888889,93.36783009042057,-1,-3,8.489236401552063,smooth_pursuit,True,0,0,0,2.7777777777777777,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
4,1756106392.8507473,107.08762621879578,715,97,0.6620370370370371,0.13472222222222222,92.27511861722022,0,-3,-1.0927114732003531,smooth_pursuit,True,0,0,0,2.6944444444444446,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
5,1756106392.875735,107.1126139163971,715,108,0.6620370370370371,0.15,440.21662881896077,0,11,347.9415102017406,saccade,True,0,0,0,3.0,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
6,1756106392.9090817,107.14596056938171,725,103,0.6712962962962963,0.14305555555555555,335.27622375342395,10,-5,-104.94040506553682,saccade,True,0,0,0,2.861111111111111,8.055555555555555,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
7,1756106392.9429176,107.17979645729065,733,100,0.6787037037037037,0.1388888888888889,252.51306448089952,8,-3,-82.76315927252443,smooth_pursuit,True,0,0,0,2.7777777777777777,8.144444444444444,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
8,1756106392.9804575,107.2173364162445,728,100,0.674074074074074,0.1388888888888889,133.1914082843243,-5,0,-119.32165619657522,smooth_pursuit,True,0,0,0,2.7777777777777777,8.088888888888889,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
9,1756106393.0062907,107.24316954612732,724,97,0.6703703703703704,0.13472222222222222,193.54991139988186,-4,-3,60.35850311555757,smooth_pursuit,True,0,0,0,2.6944444444444446,8.044444444444444,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
10,1756106393.0533974,107.2902762889862,721,96,0.6675925925925926,0.13333333333333333,67.13004271259679,-3,-1,-126.41986868728507,smooth_pursuit,True,0,0,0,2.6666666666666665,8.011111111111111,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
11,1756106393.0873458,107.32422471046448,719,93,0.6657407407407407,0.12916666666666668,106.20674300782156,-2,-3,39.07670029522477,smooth_pursuit,True,0,0,0,2.5833333333333335,7.988888888888889,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
12,1756106393.1229184,107.35979723930359,718,92,0.6648148148148149,0.12777777777777777,39.75577808283885,-1,-1,-66.45096492498271,smooth_pursuit,True,0,0,0,2.5555555555555554,7.977777777777778,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
13,1756106393.1527388,107.3896176815033,717,91,0.6638888888888889,0.12638888888888888,47.424298838432016,-1,-1,7.668520755593164,smooth_pursuit,True,0,0,0,2.5277777777777777,7.966666666666667,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
14,1756106393.185433,107.42231178283691,715,89,0.6620370370370371,0.12361111111111112,86.51184799007828,-2,-2,39.087549151646265,smooth_pursuit,True,0,0,0,2.4722222222222223,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
15,1756106393.2200737,107.4569525718689,715,88,0.6620370370370371,0.12222222222222222,28.8677027268848,0,-1,-57.64414526319348,fixation,True,0,0,0,2.4444444444444446,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
16,1756106393.2525284,107.4894073009491,704,87,0.6518518518518519,0.12083333333333333,340.33132705845804,-11,-1,311.4636243315732,saccade,True,2.2368292808532715,674.0063781685342,100.70056820890444,2.4166666666666665,7.822222222222222,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
17,1756106393.286171,107.52304983139038,716,86,0.662962962962963,0.11944444444444445,357.9277307873234,12,-1,17.59640372886537,saccade,True,0,0,0,2.388888888888889,7.955555555555556,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
18,1756106393.319485,107.55636382102966,725,85,0.6712962962962963,0.11805555555555555,271.81929382182886,9,-1,-86.10843696549455,smooth_pursuit,True,0,0,0,2.361111111111111,8.055555555555555,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
19,1756106393.3482897,107.5851686000824,723,84,0.6694444444444444,0.11666666666666667,77.62836761934908,-2,-1,-194.19092620247977,smooth_pursuit,True,0,0,0,2.3333333333333335,8.033333333333333,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
20,1756106393.375558,107.61243677139282,721,85,0.6675925925925926,0.11805555555555555,82.00285791240155,-2,1,4.3744902930524745,smooth_pursuit,True,0,0,0,2.361111111111111,8.011111111111111,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
21,1756106393.4266107,107.66348958015442,719,86,0.6657407407407407,0.11944444444444445,43.79911765367592,-2,1,-38.20374025872563,smooth_pursuit,True,0,0,0,2.388888888888889,7.988888888888889,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
22,1756106393.4566944,107.69357323646545,718,86,0.6648148148148149,0.11944444444444445,33.24064035504834,-1,0,-10.55847729862758,smooth_pursuit,True,0,0,0,2.388888888888889,7.977777777777778,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
23,1756106393.4883173,107.72519612312317,717,86,0.6638888888888889,0.11944444444444445,31.622666546035767,-1,0,-1.6179738090125753,smooth_pursuit,True,0,0,0,2.388888888888889,7.966666666666667,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
24,1756106393.5173018,107.75418066978455,716,87,0.662962962962963,0.12083333333333333,48.79198487715491,-1,1,17.169318331119143,smooth_pursuit,True,0,0,0,2.4166666666666665,7.955555555555556,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
25,1756106393.5484264,107.78530526161194,715,86,0.6620370370370371,0.11944444444444445,45.437176179398236,-1,-1,-3.354808697756674,smooth_pursuit,True,0,0,0,2.388888888888889,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
26,1756106393.5817652,107.81864404678345,715,88,0.6620370370370371,0.12222222222222222,59.990188296038845,0,2,14.553012116640609,smooth_pursuit,True,0,0,0,2.4444444444444446,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
27,1756106393.6156042,107.85248303413391,715,89,0.6620370370370371,0.12361111111111112,29.55171174725747,0,1,-30.438476548781374,fixation,True,0,0,0,2.4722222222222223,7.944444444444445,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
28,1756106393.6448467,107.88172554969788,705,89,0.6527777777777778,0.12361111111111112,341.9678439813456,-10,0,312.41613223408814,saccade,True,0,0,0,2.4722222222222223,7.833333333333333,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
29,1756106393.6813207,107.91819953918457,716,103,0.662962962962963,0.14305555555555555,488.14220943009025,11,14,146.17436544874465,saccade,True,0,0,0,2.861111111111111,7.955555555555556,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
30,1756106393.7132518,107.95013070106506,726,99,0.6722222222222223,0.1375,337.2983937940771,10,-4,-150.84381563601312,saccade,True,0,0,0,2.75,8.066666666666666,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
31,1756106393.7555554,107.99243426322937,733,112,0.6787037037037037,0.15555555555555556,349.0207988369151,7,13,11.722405042837977,saccade,True,0,0,0,3.111111111111111,8.144444444444444,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
32,1756106393.8001013,108.03698015213013,739,108,0.6842592592592592,0.15,161.88031553245,6,-4,-187.1404833044651,smooth_pursuit,True,0,0,0,3.0,8.21111111111111,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
33,1756106393.8244102,108.06128907203674,733,107,0.6787037037037037,0.1486111111111111,250.2275935609406,-6,-1,88.34727802849059,smooth_pursuit,True,0,0,0,2.9722222222222223,8.144444444444444,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
34,1756106393.8530865,108.08996534347534,728,103,0.674074074074074,0.14305555555555555,223.28998562951807,-5,-4,-26.93760793142252,smooth_pursuit,True,0,0,0,2.861111111111111,8.088888888888889,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
35,1756106393.8830304,108.11990928649902,724,102,0.6703703703703704,0.14166666666666666,137.6941447676693,-4,-1,-85.59584086184879,smooth_pursuit,True,0,0,0,2.8333333333333335,8.044444444444444,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
36,1756106393.9220262,108.15890502929688,721,101,0.6675925925925926,0.14027777777777778,81.0928945900885,-3,-1,-56.60125017758078,smooth_pursuit,True,0,0,0,2.8055555555555554,8.011111111111111,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
37,1756106393.948201,108.18507981300354,696,99,0.6444444444444445,0.1375,958.1692322287527,-25,-2,877.0763376386642,saccade,True,2.2368292808532715,674.0063781685342,100.70056820890444,2.75,7.733333333333333,117.89485144615173,190,686.389872585452,108.0104173268337,1.611605576234872
