norm_x_L,norm_y_L,norm_x_R,norm_y_R,target_x,target_y
0.45116534280936454,-0.15921541365686087,0.48430886707316145,-0.21064185248337552,135,90
0.45687406078870363,-0.0893843522078852,0.47849272889152694,-0.17176238002215097,135,90
0.4742690397711146,-0.13452658157782793,0.5110681777983374,-0.16935018387011852,135,90
0.46131506615380863,-0.13804817039793238,0.5131544442254097,-0.14534523424131712,135,90
0.46807708888520067,-0.1691659218952021,0.5013561499616352,-0.1787442786349726,135,90
0.4699285401026752,-0.15439696402020409,0.5090343441908699,-0.1609910582395535,135,90
0.4678755642835026,-0.14242224811554174,0.5075350722124314,-0.15942144568397076,135,90
0.4675167551482427,-0.1292462311557789,0.5073411855500612,-0.15498742613047387,135,90
0.4730617527234764,-0.1340245945577774,0.5096576678898014,-0.14752714642312403,135,90
0.4810638220084576,-0.13239405276846689,0.5097113936650425,-0.17349464586444663,135,90
0.48022223259366925,-0.05324945871244473,0.5089107377566702,-0.13729495231034053,540,90
0.47467545259342436,-0.05824346894610473,0.4983891652417224,-0.11741775366132978,540,90
0.4723443647303865,-0.02935080812300308,0.5057855489843147,-0.10867698131121327,540,90
0.4888475941045807,0.009099160572664538,0.5082331124489015,-0.1053220589904571,540,90
0.47436678876122446,-0.00035402445868518254,0.4970549801288253,-0.13890175604390498,540,90
0.47483857145180003,-0.01984898697842166,0.5119802214056431,-0.09617857724895643,540,90
0.46489158372174944,-0.03205858764931831,0.508850242099533,-0.11416971687107666,540,90
0.4758859238025905,-0.016036864345948105,0.503141619880332,-0.11328814188875476,540,90
0.47954968955813904,-0.021624338365103926,0.503656190854319,-0.12523764258555134,540,90
0.4708014907000262,-0.044463334774031076,0.5178806711518953,-0.09648105181747874,540,90
0.5003903937711311,0.023756843836604105,0.48924963301960106,-0.10726310645817715,945,90
0.49956414612263117,0.04852630356890105,0.5123163028313668,-0.08704122944724449,945,90
0.5137741123022063,0.03819682973821856,0.4975841677579938,-0.07075973611406683,945,90
0.49323303702844584,0.06080343243933985,0.5003498302294475,-0.046511627906976744,945,90
0.5002939164296104,0.05653941752818199,0.48569687744171264,-0.07378166543683216,945,90
0.4936833670032445,0.0337722678597164,0.5029088639461604,-0.08604233532662023,945,90
0.49758948945488074,0.049504288774202806,0.48918825746706934,-0.09784048948675225,945,90
0.5019768751896434,0.08091029000877764,0.5010937247542226,-0.08502151416967726,945,90
0.49024340796492694,0.08672687726158802,0.5076009950393506,-0.03792549608828558,945,90
0.4969714244349132,0.06574152736312815,0.5099782935659797,-0.06390168565281096,945,90
0.4569959330065583,-0.09608748804175025,0.5120804890832216,-0.17503299489069218,135,360
0.4696184644371173,-0.09351821298939787,0.5078478668487697,-0.10286977609062631,135,360
0.4765625398704752,-0.1142113810714362,0.507470410050919,-0.1263650470527888,135,360
0.4818667131176097,-0.09829088448226031,0.5127206013523364,-0.15769617706237424,135,360
0.48258929892801483,-0.09588433210318031,0.5061876893479688,-0.1149395119153507,135,360
0.4806736757720256,-0.10089439566751457,0.5091212776219654,-0.12465681810516376,135,360
0.47624216002838016,-0.10414806021371764,0.5089632292353886,-0.13713490315882745,135,360
0.47820340326128674,-0.0955606901285215,0.5093887127684344,-0.14123457194571618,135,360
0.46925305617966284,-0.09948062039097594,0.4990005547977416,-0.10269368043964454,135,360
0.4710709635825494,-0.08852245044534875,0.4961162193565045,-0.13234633785481928,135,360
0.46557170572162804,0.014839163747460691,0.46500445658339146,-0.15135195327131187,540,360
0.46598945031251204,0.01908971726971771,0.4861231853205777,-0.12976189479851027,540,360
